league,team,team_logo,player_name,player_link,squad_status,team_logo_url,full_name,date_of_birth,place_of_birth,latitude,longitude,height,position_full
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,William Saliba,https://en.wikipedia.org/wiki/William_Saliba,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,William Alain André Gabriel Saliba[1],(2001-03-24)24 March 2001(age 23)[2],"Bondy, France",48.9022,2.4828,1.92 m (6 ft 4 in)[3],Centre-back
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Kieran Tierney,https://en.wikipedia.org/wiki/Kieran_Tierney,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Kieran Tierney,(1997-06-05)5 June 1997(age 27),"Douglas,Isle of Man",54.15,-4.4775,5 ft 11 in (1.80 m)[1],"Left-back,centre-back[2]"
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Ben White,https://en.wikipedia.org/wiki/Ben_White_(footballer),First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Benjamin William White[1],(1997-10-08)8 October 1997(age 26)[2],"Poole, England",50.717,-1.983,6 ft 1 in (1.86 m)[3],Defender
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Thomas Partey,https://en.wikipedia.org/wiki/Thomas_Partey,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Thomas Teye Partey[1],(1993-06-13)13 June 1993(age 31)[2],"Krobo Odumase, Ghana",6.15,0.017,1.85 m (6 ft 1 in)[3],Defensive midfielder
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Gabriel Magalhães,https://en.wikipedia.org/wiki/Gabriel_Magalh%C3%A3es,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Gabriel Benjamin Magalhães[1],(1997-12-19)19 December 1997(age 26)[2],"São Paulo, Brazil",-23.55,-46.633,1.90 m (6 ft 3 in)[2],Centre-back
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Bukayo Saka,https://en.wikipedia.org/wiki/Bukayo_Saka,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Bukayo Ayoyinka Temidayo Saka,(2001-09-05)5 September 2001(age 22),"London, England",51.50722,-0.1275,5 ft 10 in (1.78 m)[1],Right winger[2]
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Martin Ødegaard,https://en.wikipedia.org/wiki/Martin_%C3%98degaard,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Martin Ødegaard,(1998-12-17)17 December 1998(age 25),"Drammen, Norway",59.73778,10.205,1.78 m (5 ft 10 in)[1],Midfielder[2]
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Gabriel Jesus,https://en.wikipedia.org/wiki/Gabriel_Jesus,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Gabriel Fernando de Jesus[1],(1997-04-03)3 April 1997(age 27)[2],"São Paulo, Brazil",-23.55,-46.633,1.75 m (5 ft 9 in)[3],Forward
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Raheem Sterling,https://en.wikipedia.org/wiki/Raheem_Sterling,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Raheem Shaquille Sterling,(1994-12-08)8 December 1994(age 29),"Kingston, Jamaica",17.97139,-76.79306,5 ft 8 in (1.72 m)[1],Winger[1]
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Gabriel Martinelli,https://en.wikipedia.org/wiki/Gabriel_Martinelli,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Gabriel Teodoro Martinelli Silva[1],(2001-06-18)18 June 2001(age 23)[2],"Guarulhos, Brazil",-23.46278,-46.53278,1.78 m (5 ft 10 in)[3],"Left winger,forward"
